artist,albumName,folderLink
SuicideBoys,Escape From Babylon,https://dl.dropboxusercontent.com/scl/fi/
,,
trackNumber,title,fileName
1,Escape From Babylon,q1u1wgjp08bauzwhg9020/escape-from-babylon.dfpwm?rlkey=ds33e1hhvs8tiun6yxiup1ov7&st=5e83dai8&dl=0
