artist,albumName,folderLink
SuicideBoys,I No Longer Fear the Razor Guarding My Heel,https://dl.dropboxusercontent.com/scl/fi/
,,
trackNumber,title,fileName
1,I No Longer Fear the Razor Guarding My Heel I,v6hw518oytgy9gb54kluw/UICIDEBOY-I-NO-LONGER-FEAR-THE-RAZOR-GUARDING-MY-HEEL-128.dfpwm?rlkey=sa5qc87hjhp416jdwcmdkma6x&st=f4aloida&dl=0
2,i No Longer Fear the Razor Guarding My Heel II,70mtmae1zuc9874i4bmq6/UICIDEBOY-I-NO-LONGER-FEAR-THE-RAZOR-GUARDING-MY-HEEL-Part-2-128.dfpwm?rlkey=rerfl547xje7e4jpc1co4o36b&st=6yfxudhh&dl=0
3,I No Longer Fear the Razor Guarding My Heel III,blefrmpafdtzi302m0sq2/UICIDEBOY-I-NO-LONGER-FEAR-THE-RAZOR-GUARDING-MY-HEEL-III-128.dfpwm?rlkey=0b0ge9o2bpf8jkvsnf2erc84x&st=40zbngkh&dl=0
4,I No Longer Fear the Razor Guarding My Heel IV,ifl9gskj0591fgaxkkmd7/I-No-Longer-Fear-the-Razor-Guarding-My-Heel-IV-128.dfpwm?rlkey=moz06gzd8bmbnjfio1h3ue459&st=3lgp2bqh&dl=0
5,I No Longer Fear the Razor Guarding My Heel V,81prodf54ipk6r1udk2qq/UICIDEBOY-I-NO-LONGER-FEAR-THE-RAZOR-GUARDING-MY-HEEL-V-Lyric-Video-128.dfpwm?rlkey=ydu2g6d3mlj3ek3hn0k47427z&st=wz4trve4&dl=0
